TIGR00001	50S ribosomal protein L35
TIGR01469	uroporphyrinogen-III C-methyltransferase
TIGR01472	GDP-mannose 4,6-dehydratase
TIGR01473	protoheme IX farnesyltransferase
TIGR01474	4-hydroxybenzoate polyprenyltransferase
TIGR01478	STEVOR family variant surface protein
TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
TIGR01480	copper resistance system multicopper oxidase
TIGR01481	catabolite control protein A
TIGR01484	HAD-IIB family hydrolase
TIGR01485	sucrose-phosphate phosphatase
TIGR01487	phosphoglycolate phosphatase
TIGR01490	HAD-IB family hydrolase
TIGR01492	CPW-WPC domain-containing protein
TIGR01495	ETRAMP famly protein
TIGR01496	dihydropteroate synthase
TIGR01497	K(+)-transporting ATPase subunit B
TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
TIGR01500	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
TIGR01501	methylaspartate mutase subunit S
TIGR01502	methylaspartate ammonia-lyase
TIGR01503	methylaspartate mutase subunit E
TIGR01504	glyoxylate carboligase
TIGR01505	2-hydroxy-3-oxopropionate reductase
TIGR01506	riboflavin synthase
TIGR01507	squalene--hopene cyclase
TIGR01508	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
TIGR01510	pantetheine-phosphate adenylyltransferase
TIGR01511	copper-translocating P-type ATPase
TIGR01512	cadmium-translocating P-type ATPase
TIGR01513	nicotinate phosphoribosyltransferase
TIGR01514	nicotinate phosphoribosyltransferase
TIGR01515	1,4-alpha-glucan branching enzyme
TIGR01517	calcium-translocating P-type ATPase, PMCA-type
TIGR01518	glycerol-3-phosphate cytidylyltransferase
TIGR01520	class II fructose-bisphosphate aldolase
TIGR01521	fructose-bisphosphate aldolase class II
TIGR01522	calcium-transporting P-type ATPase, PMR1-type
TIGR01523	potassium/sodium efflux P-type ATPase, fungal-type
TIGR01524	magnesium-translocating P-type ATPase
TIGR01525	heavy metal translocating P-type ATPase
TIGR01526	nicotinamide-nucleotide adenylyltransferase
TIGR01527	nicotinamide-nucleotide adenylyltransferase
TIGR01529	arginine repressor
TIGR01530	NAD nucleotidase
TIGR01531	glycogen debranching enzyme
TIGR01532	erythrose-4-phosphate dehydrogenase
TIGR01533	5'-nucleotidase, lipoprotein e(P4) family
TIGR01534	type I glyceraldehyde-3-phosphate dehydrogenase
TIGR01535	glucan 1,4-alpha-glucosidase
TIGR01536	asparagine synthase (glutamine-hydrolyzing)
TIGR01537	phage portal protein
TIGR01538	phage portal protein
TIGR01539	phage portal protein
TIGR01540	phage portal protein
TIGR01541	phage tail tape measure protein
TIGR01543	HK97 family phage prohead protease
TIGR01544	HAD-IE family hydrolase
TIGR01545	phosphatidylglycerophosphatase C
TIGR01546	phosphorylating glyceraldehyde-3-phosphate dehydrogenase
TIGR01547	PBSX family phage terminase large subunit
TIGR01548	TIGR01548 family HAD-type hydrolase
TIGR01550	type II toxin-antitoxin system death-on-curing family toxin
TIGR01551	phage major capsid protein, P2 family
TIGR01552	type II toxin-antitoxin system prevent-host-death family antitoxin
TIGR01553	formate dehydrogenase-N subunit alpha
TIGR01554	phage major capsid protein
TIGR01556	rhamnosyltransferase
TIGR01558	phage terminase small subunit P27 family
TIGR01559	squalene synthase
TIGR01562	formate dehydrogenase accessory protein FdhE
TIGR01564	S-layer protein
TIGR01572	TIGR01572 family protein
TIGR01573	CRISPR-associated endonuclease Cas2
TIGR01574	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
TIGR01575	ribosomal-protein-alanine N-acetyltransferase
TIGR01578	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
TIGR01579	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
TIGR01580	nitrate reductase subunit alpha
TIGR01582	formate dehydrogenase subunit beta
TIGR01583	formate dehydrogenase subunit gamma
TIGR01584	citrate lyase subunit alpha
TIGR01586	YopT-type cysteine protease domain-containing protein
TIGR01587	CRISPR-associated helicase Cas3'
TIGR01588	citrate (pro-3S)-lyase subunit beta
TIGR01589	TIGR01589 domain-containing protein
TIGR01591	formate dehydrogenase subunit alpha
TIGR01592	phage holin
TIGR01594	phage holin, lambda family
TIGR01595	CRISPR-associated protein
TIGR01596	CRISPR-associated endonuclease Cas3''
TIGR01598	phage holin
TIGR01600	phage minor tail protein L
TIGR01606	holin, BlyA family
TIGR01608	citrate lyase acyl carrier protein
TIGR01611	phage major tail tube protein
TIGR01614	pectinesterase inhibitor domain-containing protein
TIGR01617	Spx/MgsR family RNA polymerase-binding regulatory protein
TIGR01619	TIGR01619 family protein
TIGR01620	TIGR01620 family protein
TIGR01621	TIGR01621 family pseudouridine synthase
TIGR01626	YtfJ family protein
TIGR01627	TIGR01627 domain-containing protein
TIGR01632	50S ribosomal protein L11
TIGR01634	phage tail protein I
TIGR01635	phage virion morphogenesis protein
TIGR01644	phage baseplate assembly protein V
TIGR01646	type VI secretion system tip protein VgrG
TIGR01647	plasma-membrane proton-efflux P-type ATPase
TIGR01650	cobaltochelatase subunit CobS
TIGR01651	cobaltochelatase subunit CobT
TIGR01652	phospholipid-translocating ATPase
TIGR01653	lactococcin 972 family bacteriocin
TIGR01655	YxeA family protein
TIGR01658	EYA domain-containing protein
TIGR01659	sex-lethal family splicing factor
TIGR01660	nitrate reductase subunit beta
TIGR01662	HAD-IIIA family hydrolase
TIGR01663	bifunctional polynucleotide phosphatase/kinase
TIGR01664	DNA 3'-phosphatase
TIGR01666	TIGR01666 family membrane protein
TIGR01668	YqeG family HAD IIIA-type phosphatase
TIGR01669	XkdX family protein
TIGR01672	acid phosphatase AphA
TIGR01673	phage holin
TIGR01674	phage minor tail protein G
TIGR01675	plant acid phosphatase
TIGR01676	L-galactonolactone dehydrogenase
TIGR01677	FAD-dependent oxidoreductase
TIGR01678	sugar 1,4-lactone oxidase
TIGR01680	vegetative storage protein
TIGR01681	HAD-IIIC family phosphatase
TIGR01682	molybdopterin converting factor subunit 1
TIGR01683	sulfur carrier protein ThiS
TIGR01685	magnesium-dependent phosphatase-1
TIGR01687	MoaD family protein
TIGR01688	D-alanine--poly(phosphoribitol) ligase subunit 2
TIGR01691	acireductone synthase
TIGR01692	3-hydroxyisobutyrate dehydrogenase
TIGR01693	[protein-PII] uridylyltransferase
TIGR01694	S-methyl-5'-thioadenosine phosphorylase
TIGR01695	murein biosynthesis integral membrane protein MurJ
TIGR01696	phosphopentomutase
TIGR01698	purine-nucleoside phosphorylase
TIGR01699	xanthosine phosphorylase
TIGR01700	purine nucleoside phosphorylase I, inosine and guanosine-specific
TIGR01702	anaerobic carbon-monoxide dehydrogenase catalytic subunit
TIGR01703	hydroxylamine reductase
TIGR01704	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
TIGR01705	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
TIGR01706	periplasmic nitrate reductase subunit alpha
TIGR01707	type II secretion system protein GspI
TIGR01708	type II secretion system protein GspH
TIGR01709	type II secretion system protein GspL
TIGR01710	type II secretion system protein GspG
TIGR01711	type II secretion system protein GspJ
TIGR01712	phage N-6-adenine-methyltransferase
TIGR01713	type II secretion system protein GspC
TIGR01715	phage tail assembly protein T
TIGR01717	AMP nucleosidase
TIGR01718	uridine phosphorylase
TIGR01719	uridine phosphorylase
TIGR01721	AMP nucleosidase
TIGR01722	methylmalonate-semialdehyde dehydrogenase (CoA acylating)
TIGR01723	5,10-methenyltetrahydromethanopterin hydrogenase
TIGR01728	aliphatic sulfonate ABC transporter substrate-binding protein
TIGR01729	taurine ABC transporter substrate-binding protein
TIGR01730	efflux RND transporter periplasmic adaptor subunit
TIGR01732	YjcZ family sporulation protein
TIGR01733	amino acid adenylation domain-containing protein
TIGR01734	D-alanine--poly(phosphoribitol) ligase subunit 1
TIGR01735	phosphoribosylformylglycinamidine synthase
TIGR01736	phosphoribosylformylglycinamidine synthase subunit PurL
TIGR01737	phosphoribosylformylglycinamidine synthase I
TIGR01738	pimeloyl-[acyl-carrier protein] methyl ester esterase
TIGR01740	orotidine-5'-phosphate decarboxylase
TIGR01741	TIGR01741 family protein
TIGR01742	tandem-type lipoprotein
TIGR01743	pur operon repressor
TIGR01744	xanthine phosphoribosyltransferase
TIGR01745	aspartate-semialdehyde dehydrogenase
TIGR01748	L-rhamnose isomerase
TIGR01749	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
TIGR01750	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
TIGR01751	crotonyl-CoA carboxylase/reductase
TIGR01752	flavodoxin
TIGR01753	flavodoxin
TIGR01755	NAD(P)H:quinone oxidoreductase type IV
TIGR01756	lactate dehydrogenase
TIGR01757	malate dehydrogenase, NADP-dependent
TIGR01758	malate dehydrogenase, NAD-dependent
TIGR01759	malate dehydrogenase
TIGR01760	phage tail tape measure protein
TIGR01762	chlorinating enzyme
TIGR01763	malate dehydrogenase
TIGR01767	S-methyl-5-thioribose kinase
TIGR01768	geranylgeranylglyceryl phosphate synthase family protein
TIGR01769	phosphoglycerol geranylgeranyltransferase
TIGR01770	NADH-quinone oxidoreductase subunit NuoN
TIGR01771	L-lactate dehydrogenase
TIGR01772	malate dehydrogenase
TIGR01773	GABA permease
TIGR01774	formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme
TIGR01776	lactoferrin/transferrin family TonB-dependent receptor
TIGR01777	TIGR01777 family protein
TIGR01778	TonB-dependent copper receptor
TIGR01779	TonB-dependent vitamin B12 receptor
TIGR01780	succinate-semialdehyde dehydrogenase
TIGR01781	clustered-type lipoprotein
TIGR01782	TonB-dependent receptor
TIGR01783	TonB-dependent siderophore receptor
TIGR01784	Rpn family recombination-promoting nuclease/putative transposase
TIGR01786	TonB-dependent hemoglobin/transferrin/lactoferrin family receptor
TIGR01788	glutamate decarboxylase
TIGR01789	lycopene cyclase
TIGR01790	lycopene cyclase family protein
TIGR01791	chorismate mutase
TIGR01792	urease subunit alpha
TIGR01793	citrate (Si)-synthase, eukaryotic
TIGR01795	chorismate mutase
TIGR01796	chorismate mutase
TIGR01797	chorismate mutase
TIGR01798	citrate (Si)-synthase
TIGR01799	chorismate mutase
TIGR01801	chorismate mutase
TIGR01802	chorismate mutase
TIGR01803	chorismate mutase family protein
TIGR01804	betaine-aldehyde dehydrogenase
TIGR01805	chorismate mutase
TIGR01806	gamma subclass chorismate mutase AroQ
TIGR01807	chorismate mutase
TIGR01808	chorismate mutase
TIGR01809	shikimate dehydrogenase
TIGR01810	choline dehydrogenase
TIGR01811	succinate dehydrogenase (quinone) flavoprotein subunit
TIGR01813	flavocytochrome c
TIGR01814	kynureninase
TIGR01815	anthranilate synthase
TIGR01816	succinate dehydrogenase flavoprotein subunit
TIGR01817	nif-specific transcriptional activator NifA
TIGR01818	nitrogen regulation protein NR(I)
TIGR01819	2-phospho-L-lactate transferase
TIGR01820	anthranilate synthase component I
TIGR01821	5-aminolevulinate synthase
TIGR01822	glycine C-acetyltransferase
TIGR01823	aminodeoxychorismate synthase
TIGR01824	aminodeoxychorismate synthase, component I
TIGR01826	uridine diphosphate-N-acetylglucosamine-binding protein YvcK
TIGR01828	pyruvate, phosphate dikinase
TIGR01829	acetoacetyl-CoA reductase
TIGR01830	3-oxoacyl-[acyl-carrier-protein] reductase
TIGR01832	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD
TIGR01833	hydroxymethylglutaryl-CoA synthase
TIGR01834	class III poly(R)-hydroxyalkanoic acid synthase subunit PhaE
TIGR01835	hydroxymethylglutaryl-CoA synthase
TIGR01836	class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC
TIGR01838	class I poly(R)-hydroxyalkanoic acid synthase
TIGR01839	class II poly(R)-hydroxyalkanoic acid synthase
TIGR01842	type I secretion system permease/ATPase
TIGR01843	HlyD family type I secretion periplasmic adaptor subunit
TIGR01845	efflux transporter outer membrane subunit
TIGR01846	type I secretion system permease/ATPase
TIGR01847	bacteriocin
TIGR01848	polyhydroxyalkanoate synthesis repressor PhaR
TIGR01849	polyhydroxyalkanoate depolymerase
TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01851	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01852	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
TIGR01853	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
TIGR01854	UDP-2,3-diacylglucosamine diphosphatase
TIGR01855	imidazole glycerol phosphate synthase subunit HisH
TIGR01856	histidinol-phosphatase HisJ family protein
TIGR01857	phosphoribosylformylglycinamidine synthase
TIGR01858	tagatose bisphosphate family class II aldolase
TIGR01859	class II fructose-1,6-bisphosphate aldolase
TIGR01860	nitrogenase vanadium-iron protein, alpha chain
TIGR01861	nitrogenase iron-iron protein, alpha chain
TIGR01862	nitrogenase component I subunit alpha
TIGR01863	type I-C CRISPR-associated protein Cas8c/Csd1
TIGR01865	type II CRISPR RNA-guided endonuclease Cas9
TIGR01866	type II-A CRISPR-associated protein Csn2
TIGR01868	type I-E CRISPR-associated protein Cas5/CasD
TIGR01869	type I-E CRISPR-associated protein Cas7/Cse4/CasC
TIGR01870	type III-A CRISPR-associated protein Csm2
TIGR01873	type I-E CRISPR-associated endoribonuclease Cas2
TIGR01874	type I-A CRISPR-associated protein Cas5
TIGR01875	DevR family CRISPR-associated autoregulator
TIGR01876	type I-C CRISPR-associated protein Cas5
TIGR01877	CRISPR-associated endoribonuclease Cas6
TIGR01878	type I-A CRISPR-associated protein Csa5
TIGR01879	hydantoinase/carbamoylase family amidase
TIGR01880	N-acyl-aliphatic-L-amino acid amidohydrolase
TIGR01881	type III-B CRISPR module-associated protein Cmr5
TIGR01882	peptidase T
TIGR01884	CRISPR locus-related DNA-binding protein
TIGR01885	ornithine--oxo-acid transaminase
TIGR01886	dipeptidase PepV
TIGR01887	Sapep family Mn(2+)-dependent dipeptidase
TIGR01888	type III-B CRISPR module-associated protein Cmr3
TIGR01890	amino-acid N-acetyltransferase
TIGR01891	amidohydrolase
TIGR01892	acetylornithine deacetylase
TIGR01893	beta-Ala-His dipeptidase
TIGR01894	type III-B CRISPR module RAMP protein Cmr1
TIGR01895	type I-B CRISPR-associated protein Cas5
TIGR01896	type I-A CRISPR-associated protein Cas4/Csa1
TIGR01897	TIGR01897 family CRISPR-associated protein
TIGR01898	type III-B CRISPR module RAMP protein Cmr6
TIGR01899	type III-A CRISPR-associated RAMP protein Csm5
TIGR01900	succinyl-diaminopimelate desuccinylase
TIGR01901	filamentous hemagglutinin N-terminal domain-containing protein
TIGR01903	type III-A CRISPR-associated RAMP protein Csm4
TIGR01904	CxxxxCH/CxxCH domain-containing protein
TIGR01906	TIGR01906 family membrane protein
TIGR01907	type I-E CRISPR-associated protein Cas6/Cse3/CasE
TIGR01908	type I-B CRISPR-associated protein Cas8b1/Cst1
TIGR01910	ArgE/DapE family deacylase
TIGR01911	HesB-like protein
TIGR01912	Sec-independent protein translocase TatC
TIGR01913	phage recombination protein Bet
TIGR01914	type I-A CRISPR-associated protein Cas8a2/Csa4
TIGR01915	NADPH-dependent F420 reductase
TIGR01916	coenzyme F420-0:L-glutamate ligase
TIGR01917	glycine reductase complex selenoprotein B
TIGR01918	glycine/betaine/sarcosine/D-proline family reductase selenoprotein B
TIGR01919	bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA
TIGR01920	shikimate kinase
TIGR01921	diaminopimelate dehydrogenase
TIGR01922	IMP cyclohydrolase
TIGR01923	o-succinylbenzoate--CoA ligase
TIGR01924	anti-sigma B factor RsbW
TIGR01925	anti-sigma F factor
TIGR01927	o-succinylbenzoate synthase
TIGR01928	o-succinylbenzoate synthase
TIGR01929	1,4-dihydroxy-2-naphthoyl-CoA synthase
TIGR01930	acetyl-CoA C-acyltransferase
TIGR01931	assimilatory sulfite reductase (NADPH) flavoprotein subunit
TIGR01932	protease modulator HflC
TIGR01933	FtsH protease activity modulator HflK
TIGR01934	ubiquinone/menaquinone biosynthesis methyltransferase
TIGR01936	NADH:ubiquinone reductase (Na(+)-transporting) subunit A
TIGR01937	NADH:ubiquinone reductase (Na(+)-transporting) subunit B
TIGR01938	NADH:ubiquinone reductase (Na(+)-transporting) subunit C
TIGR01939	NADH:ubiquinone reductase (Na(+)-transporting) subunit D
TIGR01940	NADH:ubiquinone reductase (Na(+)-transporting) subunit E
TIGR01941	NADH:ubiquinone reductase (Na(+)-transporting) subunit F
TIGR01942	polynucleotide adenylyltransferase PcnB
TIGR01943	RnfABCDGE type electron transport complex subunit A
TIGR01944	RnfABCDGE type electron transport complex subunit B
TIGR01945	RnfABCDGE type electron transport complex subunit C
TIGR01946	RnfABCDGE type electron transport complex subunit D
TIGR01947	RnfABCDGE type electron transport complex subunit G
TIGR01948	RnfABCDGE type electron transport complex subunit E
TIGR01950	redox-sensitive transcriptional activator SoxR
TIGR01951	transcription antitermination factor NusB
TIGR01952	NusA-like transcription termination signal-binding factor
TIGR01953	transcription termination factor NusA
TIGR01955	transcription/translation regulatory transformer protein RfaH
TIGR01956	transcription termination/antitermination protein NusG
TIGR01957	NADH-quinone oxidoreductase subunit B
TIGR01958	NADH-quinone oxidoreductase subunit E
TIGR01959	NADH oxidoreductase (quinone) subunit F
TIGR01962	NADH dehydrogenase (quinone) subunit D
TIGR01963	3-hydroxybutyrate dehydrogenase
TIGR01964	CO2 hydration protein
TIGR01966	ribonuclease PH
TIGR01967	ATP-dependent RNA helicase HrpA
TIGR01968	septum site-determining protein MinD
TIGR01970	ATP-dependent helicase HrpB
TIGR01972	NADH-quinone oxidoreductase subunit M
TIGR01973	NADH dehydrogenase (quinone) subunit G
TIGR01974	NADH-quinone oxidoreductase subunit L
TIGR01975	beta-aspartyl-peptidase
TIGR01976	cysteine desulfurase-like protein
TIGR01978	Fe-S cluster assembly ATPase SufC
TIGR01979	SufS family cysteine desulfurase
TIGR01980	Fe-S cluster assembly protein SufB
TIGR01981	Fe-S cluster assembly protein SufD
TIGR01982	2-polyprenylphenol 6-hydroxylase
TIGR01983	3-demethylubiquinone-9 3-O-methyltransferase
TIGR01984	2-octaprenyl-6-methoxyphenyl hydroxylase
TIGR01985	phasin
TIGR01986	glutathione synthase
TIGR01989	ubiquinone biosynthesis monooxygenase COQ6
TIGR01990	beta-phosphoglucomutase
TIGR01991	Fe-S protein assembly chaperone HscA
TIGR01993	pyrimidine 5'-nucleotidase
TIGR01994	SUF system NifU family Fe-S cluster assembly protein
TIGR01997	Fe-S cluster assembly scaffold SufA
TIGR01999	Fe-S cluster assembly scaffold IscU
TIGR02000	Fe-S cluster assembly protein NifU
TIGR02006	IscS subfamily cysteine desulfurase
TIGR02007	ISC system 2Fe-2S type ferredoxin
TIGR02009	beta-phosphoglucomutase family hydrolase
TIGR02010	Fe-S cluster assembly transcriptional regulator IscR
TIGR02011	iron-sulfur cluster assembly protein IscA
TIGR02012	recombinase RecA
TIGR02013	DNA-directed RNA polymerase subunit beta
TIGR02014	chlorophyllide a reductase subunit Z
TIGR02015	chlorophyllide a reductase subunit Y
TIGR02016	chlorophyllide a reductase iron protein subunit X
TIGR02017	N-formylglutamate deformylase
TIGR02018	histidine utilization repressor
TIGR02019	bacteriochlorophyll 4-vinyl reductase
TIGR02020	2-vinyl bacteriochlorophyllide hydratase
TIGR02021	magnesium protoporphyrin IX methyltransferase
TIGR02022	formimidoylglutamate deiminase
TIGR02023	geranylgeranyl diphosphate reductase
TIGR02024	glutamate formimidoyltransferase
TIGR02025	magnesium chelatase subunit H
TIGR02026	magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase
TIGR02027	DNA-directed RNA polymerase subunit alpha
TIGR02028	geranylgeranyl reductase
TIGR02029	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
TIGR02030	magnesium chelatase ATPase subunit I
TIGR02031	magnesium chelatase ATPase subunit D
TIGR02032	geranylgeranyl reductase family protein
TIGR02033	dihydropyrimidinase
TIGR02035	D-serine ammonia-lyase
TIGR02036	DNA-binding transcriptional regulator DsdC
TIGR02037	Do family serine endopeptidase
TIGR02038	outer membrane-stress sensor serine endopeptidase DegS
TIGR02040	transcriptional regulator PpsR
TIGR02041	assimilatory sulfite reductase (NADPH) hemoprotein subunit
TIGR02042	sulfite reductase, ferredoxin dependent
TIGR02043	Zn(2+)-responsive transcriptional regulator
TIGR02044	Cu(I)-responsive transcriptional regulator
TIGR02045	ADP-specific phosphofructokinase
TIGR02047	Cd(II)/Pb(II)-responsive transcriptional regulator
TIGR02048	glutamate--cysteine ligase
TIGR02049	glutamate--cysteine ligase
TIGR02050	YbdK family carboxylate-amine ligase
TIGR02051	Hg(II)-responsive transcriptional regulator
TIGR02052	mercury resistance system periplasmic binding protein MerP
TIGR02053	mercury(II) reductase
TIGR02054	mercuric resistance transcriptional repressor protein MerD
TIGR02056	chlorophyll synthase ChlG
TIGR02057	phosphoadenosine phosphosulfate reductase
TIGR02060	adenylyl-sulfate reductase subunit beta
TIGR02061	adenylyl-sulfate reductase subunit alpha
TIGR02062	exoribonuclease II
TIGR02063	ribonuclease R
TIGR02064	dissimilatory-type sulfite reductase subunit alpha
TIGR02065	exosome complex exonuclease Rrp41
TIGR02066	dissimilatory-type sulfite reductase subunit beta
TIGR02067	histidinol-phosphatase
TIGR02068	cyanophycin synthetase
TIGR02069	cyanophycinase
TIGR02070	monofunctional biosynthetic peptidoglycan transglycosylase
TIGR02071	penicillin-binding protein 1B
TIGR02072	malonyl-[acyl-carrier protein] O-methyltransferase BioC
TIGR02073	penicillin-binding protein 1C
TIGR02074	PBP1A family penicillin-binding protein
TIGR02075	UMP kinase
TIGR02076	UMP kinase
TIGR02077	thr operon leader peptide
TIGR02079	threonine ammonia-lyase
TIGR02080	cystathionine gamma-synthase
TIGR02081	methionine biosynthesis protein MetW
TIGR02082	methionine synthase
TIGR02083	3-isopropylmalate dehydratase large subunit
TIGR02084	3-isopropylmalate dehydratase small subunit
TIGR02085	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
TIGR02089	tartrate dehydrogenase
TIGR02091	glucose-1-phosphate adenylyltransferase
TIGR02092	glucose-1-phosphate adenylyltransferase subunit GlgD
TIGR02093	glycogen/starch/alpha-glucan family phosphorylase
TIGR02094	alpha-glucan family phosphorylase
TIGR02097	heat shock protein HspQ
TIGR02099	TIGR02099 family protein
TIGR02100	glycogen debranching enzyme GlgX
TIGR02101	IpaC/SipC family type III secretion system effector
TIGR02102	pullulanase
TIGR02103	pullulanase-type alpha-1,6-glucosidase
TIGR02104	type I pullulanase
TIGR02105	EscF/YscF/HrpA family type III secretion system needle major subunit
TIGR02106	cytochrome bd-I oxidase subunit CydX
TIGR02107	pyrroloquinoline quinone precursor peptide PqqA
TIGR02108	pyrroloquinoline quinone biosynthesis protein PqqB
TIGR02109	pyrroloquinoline quinone biosynthesis protein PqqE
TIGR02110	pyrroloquinoline quinone biosynthesis protein PqqF
TIGR02111	pyrroloquinoline-quinone synthase PqqC
TIGR02112	cyd operon protein YbgE
TIGR02113	phosphopantothenoylcysteine decarboxylase
TIGR02114	phosphopantothenate--cysteine ligase
TIGR02115	K(+)-transporting ATPase subunit F
TIGR02116	Txe/YoeB family addiction module toxin
TIGR02117	TIGR02117 family protein
TIGR02118	EthD family reductase
TIGR02119	sodium/panthothenate symporter
TIGR02120	type II secretion system protein GspF
TIGR02121	sodium/proline symporter PutP
TIGR02122	TAXI family TRAP transporter solute-binding subunit
TIGR02123	TRAP transporter fused permease subunit
TIGR02124	hydrogenase expression/formation protein HypE
TIGR02125	Ni/Fe-hydrogenase, b-type cytochrome subunit
TIGR02126	phage major tail protein, TP901-1 family
TIGR02127	orotidine-5'-phosphate decarboxylase
TIGR02128	bifunctional phosphoglucose/phosphomannose isomerase
TIGR02129	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
TIGR02130	dihydrodipicolinate reductase
TIGR02131	polyhydroxyalkanoic acid inclusion protein PhaP
TIGR02132	polyhydroxyalkanoic acid synthase subunit PhaR
TIGR02133	ribose-5-phosphate isomerase
TIGR02134	transaldolase
TIGR02135	phosphate transport system regulatory protein PhoU
TIGR02136	phosphate ABC transporter substrate-binding protein PstS family protein
TIGR02137	bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH
TIGR02138	phosphate ABC transporter permease subunit PstC
TIGR02139	sulfate ABC transporter permease subunit CysT
TIGR02140	sulfate ABC transporter permease subunit CysW
TIGR02141	molybdate ABC transporter permease subunit
TIGR02142	molybdenum ABC transporter ATP-binding protein
TIGR02143	tRNA (uridine(54)-C5)-methyltransferase TrmA
TIGR02144	lysine biosynthesis protein LysX
TIGR02146	homocitrate synthase
TIGR02147	TIGR02147 family protein
TIGR02148	fibro-slime domain-containing protein
TIGR02149	glycogen synthase
TIGR02150	isopentenyl-diphosphate delta-isomerase
TIGR02151	type 2 isopentenyl-diphosphate Delta-isomerase
TIGR02152	ribokinase
TIGR02153	Glu-tRNA(Gln) amidotransferase GatDE subunit D
TIGR02154	phosphate regulon transcriptional regulatory protein PhoB
TIGR02155	phenylacetate--CoA ligase
TIGR02156	1,2-phenylacetyl-CoA epoxidase subunit A
TIGR02157	1,2-phenylacetyl-CoA epoxidase subunit B
TIGR02158	phenylacetate-CoA oxygenase subunit PaaI
TIGR02159	phenylacetate-CoA oxygenase subunit PaaJ
TIGR02160	phenylacetate-CoA oxygenase/reductase subunit PaaK
TIGR02162	pentaheme c-type cytochrome TorC
TIGR02163	NapH/MauN family ferredoxin-type protein
TIGR02164	trimethylamine-N-oxide reductase TorA
TIGR02165	type I-U CRISPR-associated protein Cas5/Cas6
TIGR02168	chromosome segregation protein SMC
TIGR02169	chromosome segregation protein SMC
TIGR02170	FAD-dependent thymidylate synthase
TIGR02171	TIGR02171 family protein
TIGR02172	TIGR02172 family protein
TIGR02174	SelT/SelW/SelH family protein
TIGR02176	pyruvate:ferredoxin (flavodoxin) oxidoreductase
TIGR02178	elongation factor P-like protein YeiP
TIGR02180	glutaredoxin
TIGR02181	glutaredoxin 3
TIGR02182	glutaredoxin, GrxB family
TIGR02183	glutaredoxin, GrxA family
TIGR02186	TIGR02186 family protein
TIGR02188	acetate--CoA ligase
TIGR02191	ribonuclease III
TIGR02192	protein YibB
TIGR02193	lipopolysaccharide heptosyltransferase I
TIGR02194	glutaredoxin-like protein NrdH
TIGR02195	lipopolysaccharide heptosyltransferase II
TIGR02197	ADP-glyceromanno-heptose 6-epimerase
TIGR02198	D-glycero-beta-D-manno-heptose-7-phosphate kinase
TIGR02199	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
TIGR02200	mycoredoxin
TIGR02201	putative lipopolysaccharide heptosyltransferase III
TIGR02203	lipid A export permease/ATP-binding protein MsbA
TIGR02205	cell division protein ZipA
TIGR02206	TIGR02206 family membrane protein
TIGR02207	LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase
TIGR02208	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
TIGR02209	cell division protein FtsL
TIGR02210	rod shape-determining protein RodA
TIGR02211	lipoprotein-releasing ABC transporter ATP-binding protein LolD
TIGR02212	lipoprotein-releasing ABC transporter permease subunit
TIGR02213	lipoprotein-releasing ABC transporter permease subunit LolE
TIGR02214	stage V sporulation protein D
TIGR02217	TIGR02217 family protein
TIGR02221	TIGR02221 family CRISPR-associated protein
TIGR02222	export-related chaperone CsaA
TIGR02223	cell division protein FtsN
TIGR02224	tyrosine recombinase XerC
TIGR02225	site-specific tyrosine recombinase XerD
